Date,Account ID,Name,Benchmark Name,Fund,Benchmark,Excess
4/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),6,5.96989,0.03011
5/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),6.11,6.08832,0.02168
6/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),4.44,4.48018,-0.04018
7/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),7.95,7.95676,-0.00676
8/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),-5.54,-5.60217,0.06217
9/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),5.45,5.47666,-0.02666
10/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),-3.28,-3.33971,0.05971
11/30/1997,A1VE,E2,S&P 500 INDEX (DAILY),4.61,4.62923,-0.01923
12/31/1997,A1VE,E2,S&P 500 INDEX (DAILY),1.69,1.71737,-0.02737
1/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),1.16,1.10608,0.05392
2/28/1998,A1VE,E2,S&P 500 INDEX (DAILY),7.17,7.21253,-0.04253
3/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),5.14,5.12081,0.01919
4/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),1.04,1.00608,0.03392
5/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-1.73,-1.71879,-0.01121
6/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),4.07,4.06189,0.00811
7/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-1.05,-1.06484,0.01484
8/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),-14.42,-14.45772,0.03772
9/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),6.44,6.40604,0.03396
10/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),8.16,8.1342,0.0258
11/30/1998,A1VE,E2,S&P 500 INDEX (DAILY),6.04,6.06079,-0.02079
12/31/1998,A1VE,E2,S&P 500 INDEX (DAILY),5.82,5.76252,0.05748
1/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),4.2,4.1816,0.0184
2/28/1999,A1VE,E2,S&P 500 INDEX (DAILY),-3.1,-3.10787,0.00787
3/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),3.97,4.00085,-0.03085
4/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),3.82,3.87255,-0.05255
5/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-2.27,-2.36137,0.09137
6/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),5.45,5.54973,-0.09973
7/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-3.03,-3.12247,0.09247
8/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),-0.49,-0.49473,0.00473
9/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),-2.77,-2.7414,-0.0286
10/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),6.36,6.32807,0.03193
11/30/1999,A1VE,E2,S&P 500 INDEX (DAILY),2.06,2.03283,0.02717
12/31/1999,A1VE,E2,S&P 500 INDEX (DAILY),5.9,5.88962,0.01038
1/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-5.04,-5.02424,-0.01576
2/29/2000,A1VE,E2,S&P 500 INDEX (DAILY),-1.94,-1.89297,-0.04703
3/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),10.03,9.78286,0.24714
4/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-3.13,-3.00857,-0.12143
5/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-2.03,-2.05171,0.02171
6/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),2.39,2.46533,-0.07533
7/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-1.42,-1.56342,0.14342
8/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),6.21,6.21144,-0.00144
9/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-5.24,-5.27933,0.03933
10/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),-0.4,-0.42276,0.02276
11/30/2000,A1VE,E2,S&P 500 INDEX (DAILY),-7.83,-7.88395,0.05395
12/31/2000,A1VE,E2,S&P 500 INDEX (DAILY),0.51,0.48944,0.02056
1/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),3.6,3.54791,0.05209
2/28/2001,A1VE,E2,S&P 500 INDEX (DAILY),-9.15,-9.11817,-0.03183
3/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),-6.37,-6.33506,-0.03494
4/30/2001,A1VE,E2,S&P 500 INDEX (DAILY),7.78,7.77105,0.00895
5/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),0.67,0.66999,0.00001
6/30/2001,A1VE,E2,S&P 500 INDEX (DAILY),-2.44,-2.43386,-0.00614
7/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),-0.97,-0.98441,0.01441
8/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),-6.26,-6.26017,0.00017
9/30/2001,A1VE,E2,S&P 500 INDEX (DAILY),-8.12,-8.07525,-0.04475
10/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),1.95,1.9069,0.0431
11/30/2001,A1VE,E2,S&P 500 INDEX (DAILY),7.69,7.67063,0.01937
12/31/2001,A1VE,E2,S&P 500 INDEX (DAILY),0.87,0.87606,-0.00606
1/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),-1.46,-1.45931,-0.00069
2/28/2002,A1VE,E2,S&P 500 INDEX (DAILY),-1.93,-1.92854,-0.00146
3/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),3.77,3.76093,0.00907
4/30/2002,A1VE,E2,S&P 500 INDEX (DAILY),-6.09,-6.06278,-0.02722
5/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),-0.72,-0.73672,0.01672
6/30/2002,A1VE,E2,S&P 500 INDEX (DAILY),-7.13,-7.12394,-0.00606
7/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),-7.76,-7.79449,0.03449
8/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),0.69,0.65654,0.03346
9/30/2002,A1VE,E2,S&P 500 INDEX (DAILY),-10.85,-10.86795,0.01795
10/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),8.81,8.80164,0.00836
11/30/2002,A1VE,E2,S&P 500 INDEX (DAILY),5.86,5.88591,-0.02591
12/31/2002,A1VE,E2,S&P 500 INDEX (DAILY),-5.88,-5.8748,-0.0052
1/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),-2.61,-2.61962,0.00962
2/28/2003,A1VE,E2,S&P 500 INDEX (DAILY),-1.49,-1.5004,0.0104
3/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),0.97,0.97089,-0.00089
4/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),8.29,8.23705,0.05295
5/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.27,5.26872,0.00128
6/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.27,1.27568,-0.00568
7/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.77,1.76314,0.00686
8/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),1.96,1.95025,0.00975
9/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),-1.05,-1.06196,0.01196
10/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.62,5.657,-0.037
11/30/2003,A1VE,E2,S&P 500 INDEX (DAILY),0.94,0.87981,0.06019
12/31/2003,A1VE,E2,S&P 500 INDEX (DAILY),5.16,5.24446,-0.08446
1/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.88,1.8355,0.0445
2/29/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.38,1.38994,-0.00994
3/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),-1.51,-1.50862,-0.00138
4/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),-1.51,-1.56984,0.05984
5/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.35,1.37229,-0.02229
6/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.94,1.94449,-0.00449
7/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),-3.3,-3.30969,0.00969
8/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),0.39,0.40449,-0.01449
9/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.07,1.08306,-0.01306
10/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),1.53,1.52773,0.00227
11/30/2004,A1VE,E2,S&P 500 INDEX (DAILY),4.05,4.04616,0.00384
12/31/2004,A1VE,E2,S&P 500 INDEX (DAILY),3.4,3.40287,-0.00287
1/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-2.42,-2.4375,0.0175
2/28/2005,A1VE,E2,S&P 500 INDEX (DAILY),2.1,2.10442,-0.00442
3/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-1.77,-1.77082,0.00082
4/30/2005,A1VE,E2,S&P 500 INDEX (DAILY),-1.91,-1.89656,-0.01344
5/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),3.19,3.18186,0.00814
6/30/2005,A1VE,E2,S&P 500 INDEX (DAILY),0.13,0.14197,-0.01197
7/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),3.71,3.71882,-0.00882
8/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-0.96,-0.9124,-0.0476
9/30/2005,A1VE,E2,S&P 500 INDEX (DAILY),0.83,0.80994,0.02006
10/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),-1.62,-1.66708,0.04708
11/30/2005,A1VE,E2,S&P 500 INDEX (DAILY),3.81,3.78221,0.02779
12/31/2005,A1VE,E2,S&P 500 INDEX (DAILY),0.01,0.03481,-0.02481
1/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),2.68,2.64778,0.03222
2/28/2006,A1VE,E2,S&P 500 INDEX (DAILY),0.26,0.27133,-0.01133
3/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),1.31,1.24475,0.06525
4/30/2006,A1VE,E2,S&P 500 INDEX (DAILY),1.31,1.34278,-0.03278
5/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),-2.82,-2.87814,0.05814
6/30/2006,A1VE,E2,S&P 500 INDEX (DAILY),0.19,0.13557,0.05443
7/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),0.63,0.61685,0.01315
8/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),2.42,2.37931,0.04069
9/30/2006,A1VE,E2,S&P 500 INDEX (DAILY),2.6,2.577,0.023
10/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),3.27,3.2586,0.0114
11/30/2006,A1VE,E2,S&P 500 INDEX (DAILY),1.92,1.90161,0.01839
12/31/2006,A1VE,E2,S&P 500 INDEX (DAILY),1.37,1.40277,-0.03277
1/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),1.52,1.51232,0.00768
2/28/2007,A1VE,E2,S&P 500 INDEX (DAILY),-1.94,-1.95588,0.01588
3/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),1.1,1.11849,-0.01849
4/30/2007,A1VE,E2,S&P 500 INDEX (DAILY),4.44,4.42954,0.01046
5/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),3.5,3.48951,0.01049
6/30/2007,A1VE,E2,S&P 500 INDEX (DAILY),-1.66,-1.66133,0.00133
7/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),-3.07,-3.10049,0.03049
8/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),1.51,1.49901,0.01099
9/30/2007,A1VE,E2,S&P 500 INDEX (DAILY),3.72,3.73988,-0.01988
10/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),1.51,1.59068,-0.08068
11/30/2007,A1VE,E2,S&P 500 INDEX (DAILY),-4.18,-4.18066,0.00066
12/31/2007,A1VE,E2,S&P 500 INDEX (DAILY),-0.7,-0.69376,-0.00624
1/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),-6.11,-5.99816,-0.11184
2/29/2008,A1VE,E2,S&P 500 INDEX (DAILY),-3.06,-3.24858,0.18858
3/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),-0.37,-0.4318,0.0618
4/30/2008,A1VE,E2,S&P 500 INDEX (DAILY),4.86,4.87031,-0.01031
5/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),1.3,1.29526,0.00474
6/30/2008,A1VE,E2,S&P 500 INDEX (DAILY),-8.4,-8.43035,0.03035
7/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),-0.79,-0.84062,0.05062
8/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),1.42,1.44647,-0.02647
9/30/2008,A1VE,E2,S&P 500 INDEX (DAILY),-8.9,-8.91073,0.01073
10/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),-16.93,-16.7948,-0.1352
11/30/2008,A1VE,E2,S&P 500 INDEX (DAILY),-7.12,-7.17546,0.05546
12/31/2008,A1VE,E2,S&P 500 INDEX (DAILY),1.08,1.06403,0.01597
1/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),-8.25,-8.42864,0.17864
2/28/2009,A1VE,E2,S&P 500 INDEX (DAILY),-10.56,-10.64778,0.08778
3/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),8.68,8.75952,-0.07952
4/30/2009,A1VE,E2,S&P 500 INDEX (DAILY),9.44,9.57094,-0.13094
5/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),5.55,5.59329,-0.04329
6/30/2009,A1VE,E2,S&P 500 INDEX (DAILY),0.23,0.19836,0.03164
7/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),7.61,7.56373,0.04627
8/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),3.65,3.61042,0.03958
9/30/2009,A1VE,E2,S&P 500 INDEX (DAILY),3.72,3.73151,-0.01151
10/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),-1.87,-1.85771,-0.01229
11/30/2009,A1VE,E2,S&P 500 INDEX (DAILY),5.98,5.99835,-0.01835
12/31/2009,A1VE,E2,S&P 500 INDEX (DAILY),1.95,1.93155,0.01845
1/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),-3.585498,-3.59737,0.011872
2/28/2010,A1VE,E2,S&P 500 INDEX (DAILY),3.105347,3.09771,0.007637
3/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),6.026911,6.03449,-0.007579
4/30/2010,A1VE,E2,S&P 500 INDEX (DAILY),1.568556,1.57877,-0.010214
5/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),-7.980368,-7.98508,0.004712
6/30/2010,A1VE,E2,S&P 500 INDEX (DAILY),-5.225521,-5.23482,0.009299
7/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),7.000271,7.0063,-0.006029
8/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),-4.510524,-4.51442,0.003896
9/30/2010,A1VE,E2,S&P 500 INDEX (DAILY),8.9333,8.92447,0.00883
10/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),3.804151,3.80492,-0.000769
11/30/2010,A1VE,E2,S&P 500 INDEX (DAILY),0.01451,0.01282,0.00169
12/31/2010,A1VE,E2,S&P 500 INDEX (DAILY),6.687798,6.68314,0.004658
1/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),2.378099,2.37016,0.007939
2/28/2011,A1VE,E2,S&P 500 INDEX (DAILY),3.423502,3.42591,-0.002408
3/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),0.063666,0.03978,0.023886
4/30/2011,A1VE,E2,S&P 500 INDEX (DAILY),2.937806,2.96153,-0.023724
5/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),-1.130815,-1.13196,0.001145
6/30/2011,A1VE,E2,S&P 500 INDEX (DAILY),-1.680758,-1.66691,-0.013848
7/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),-2.03,-2.03346,0.00346
8/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),-5.432489,-5.43219,-0.000299
9/30/2011,A1VE,E2,S&P 500 INDEX (DAILY),-7.024109,-7.02988,0.005771
10/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),10.92221,10.92931,-0.0071
11/30/2011,A1VE,E2,S&P 500 INDEX (DAILY),-0.212754,-0.221,0.008246
12/31/2011,A1VE,E2,S&P 500 INDEX (DAILY),1.029207,1.02291,0.006297
1/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),4.478226,4.48154,-0.003314
2/29/2012,A1VE,E2,S&P 500 INDEX (DAILY),4.329211,4.3242,0.005011
3/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),3.291161,3.29092,0.000241
4/30/2012,A1VE,E2,S&P 500 INDEX (DAILY),-0.633466,-0.62769,-0.005776
5/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),-6.020195,-6.01007,-0.010125
6/30/2012,A1VE,E2,S&P 500 INDEX (DAILY),4.113646,4.12022,-0.006574
7/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),1.385817,1.3889,-0.003083
8/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),2.231832,2.25228,-0.020448
9/30/2012,A1VE,E2,S&P 500 INDEX (DAILY),2.585647,2.58417,0.001477
10/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),-1.812873,-1.84644,0.033567
11/30/2012,A1VE,E2,S&P 500 INDEX (DAILY),0.586781,0.58011,0.006671
12/31/2012,A1VE,E2,S&P 500 INDEX (DAILY),0.912203,0.91147,0.000733
1/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),5.202643,5.1795,0.023143
2/28/2013,A1VE,E2,S&P 500 INDEX (DAILY),1.363688,1.35749,0.006198
3/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),3.74745,3.75033,-0.00288
4/30/2013,A1VE,E2,S&P 500 INDEX (DAILY),1.917914,1.92666,-0.008746
5/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),2.266876,2.33919,-0.072314
6/30/2013,A1VE,E2,S&P 500 INDEX (DAILY),-1.3777,-1.34288,-0.03482
7/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),5.098842,5.08842,0.010422
8/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),-2.910682,-2.89616,-0.014522
9/30/2013,A1VE,E2,S&P 500 INDEX (DAILY),3.157662,3.13595,0.021712
10/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),4.5953,4.59678,-0.00148
11/30/2013,A1VE,E2,S&P 500 INDEX (DAILY),3.049889,3.047397307,0.002491693
12/31/2013,A1VE,E2,S&P 500 INDEX (DAILY),2.530659,2.531611586,-0.000952586
1/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),-3.462778,-3.457407592,-0.005370408
2/28/2014,A1VE,E2,S&P 500 INDEX (DAILY),4.570708,4.57438536,-0.00367736
3/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),0.825601,0.840571672,-0.014970672
4/30/2014,A1VE,E2,S&P 500 INDEX (DAILY),0.754744,0.739203351,0.015540649
5/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),2.349004,2.347408609,0.001595391
6/30/2014,A1VE,E2,S&P 500 INDEX (DAILY),2.066059,2.065750821,0.000308179
7/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),-1.376872,-1.379092989,0.002220989
8/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),4.0028,4.000504369,0.002295631
9/30/2014,A1VE,E2,S&P 500 INDEX (DAILY),-1.402,-1.402363106,0.000363106
10/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),2.459302,2.442513948,0.016788052
11/30/2014,A1VE,E2,S&P 500 INDEX (DAILY),2.706418,2.689473322,0.016944678
12/31/2014,A1VE,E2,S&P 500 INDEX (DAILY),-0.268234,-0.25191062,-0.01632338
1/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),-3.025389,-3.001923168,-0.023465832
2/28/2015,A1VE,E2,S&P 500 INDEX (DAILY),5.759913,5.74715086,0.01276214
3/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),-1.588206,-1.58144808,-0.00675792
4/30/2015,A1VE,E2,S&P 500 INDEX (DAILY),0.95145,0.959321081,-0.007871081
5/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),1.289436,1.285926036,0.003509964
6/30/2015,A1VE,E2,S&P 500 INDEX (DAILY),-1.956444,-1.935805194,-0.020638806
7/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),2.0934,2.095122631,-0.001722631
8/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),-6.039375,-6.033383526,-0.005991474
9/30/2015,A1VE,E2,S&P 500 INDEX (DAILY),-2.491552,-2.474348962,-0.017203038
10/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),8.50721,8.43540711,0.07180289
11/30/2015,A1VE,E2,S&P 500 INDEX (DAILY),0.2834,0.297384979,-0.013984979
12/31/2015,A1VE,E2,S&P 500 INDEX (DAILY),-1.583729,-1.577185766,-0.006543234
1/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),-5.001774,-4.962423645,-0.039350355
2/29/2016,A1VE,E2,S&P 500 INDEX (DAILY),-0.133851,-0.134919309,0.001068309
3/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),6.7998,6.783819641,0.015980359
4/30/2016,A1VE,E2,S&P 500 INDEX (DAILY),0.3874,0.387673479,-0.000273479
5/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),1.7981,1.795815319,0.002284681
6/30/2016,A1VE,E2,S&P 500 INDEX (DAILY),0.261393,0.259107069,0.002285931
7/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),3.689916,3.68687396,0.00304204
8/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),0.147193,0.140404824,0.006788176
9/30/2016,A1VE,E2,S&P 500 INDEX (DAILY),0.034764,0.018906727,0.015857273
10/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),-1.822398,-1.82411792,0.00171992
11/30/2016,A1VE,E2,S&P 500 INDEX (DAILY),3.701934,3.703488601,-0.001554601
12/31/2016,A1VE,E2,S&P 500 INDEX (DAILY),1.978327,1.976610866,0.001716134
1/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),1.902464,1.896644169,0.005819831
2/28/2017,A1VE,E2,S&P 500 INDEX (DAILY),3.973161,3.97059221,0.00256879
3/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),0.113547,0.11664757,-0.00310057
4/30/2017,A1VE,E2,S&P 500 INDEX (DAILY),1.029582,1.026991584,0.002590416
5/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),1.408731,1.407280043,0.001450957
6/30/2017,A1VE,E2,S&P 500 INDEX (DAILY),0.622355,0.624153323,-0.001798323
7/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),2.06154,2.056268137,0.005271863
8/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),0.312192,0.306121342,0.006070658
9/30/2017,A1VE,E2,S&P 500 INDEX (DAILY),2.067416,2.062815039,0.004600961
10/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),2.339,2.333540057,0.005459943
11/30/2017,A1VE,E2,S&P 500 INDEX (DAILY),3.069508,3.066978393,0.002529607
12/31/2017,A1VE,E2,S&P 500 INDEX (DAILY),1.113,1.111865678,0.001134322
1/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),5.648474,5.72539546,-0.07692146
2/28/2018,A1VE,E2,S&P 500 INDEX (DAILY),-3.643209,-3.68571196,0.04250296
3/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),-2.562263,-2.541326795,-0.020936205
4/30/2018,A1VE,E2,S&P 500 INDEX (DAILY),0.34633,0.383706507,-0.037376507
5/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),2.4167,2.408197131,0.008502869
6/30/2018,A1VE,E2,S&P 500 INDEX (DAILY),0.625497,0.615492598,0.010004402
7/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),3.721178,3.721361897,-0.000183897
8/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),3.259546,3.258530784,0.001015216
9/30/2018,A1VE,E2,S&P 500 INDEX (DAILY),0.574778,0.569193384,0.005584616
10/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),-6.705482,-6.835016072,0.129534072
11/30/2018,A1VE,E2,S&P 500 INDEX (DAILY),2.167591,2.037839196,0.129751804
12/31/2018,A1VE,E2,S&P 500 INDEX (DAILY),-9.038499,-9.029085159,-0.009413841
1/31/2019,A1VE,E2,S&P 500 INDEX (DAILY),8.016971,8.01358168,0.00338932
2/28/2019,A1VE,E2,S&P 500 INDEX (DAILY),3.207998,3.210823191,-0.002825191
3/31/2019,A1VE,E2,S&P 500 INDEX (DAILY),1.997171,1.943173285,0.053997715
4/30/2019,A1VE,E2,S&P 500 INDEX (DAILY),4.053637,4.048964868,0.004672132
